iso3,year,measure,share
LVA,2017,rent_burden,0.074100
LVA,2018,mortgage_burden,0.141222
LVA,2018,rent_burden,0.068355
LVA,2019,mortgage_burden,0.130747
LVA,2019,rent_burden,0.077159
LVA,2020,mortgage_burden,0.115537
LVA,2020,rent_burden,0.079228
LVA,2021,mortgage_burden,0.111392
LVA,2021,rent_burden,0.082803
LVA,2022,mortgage_burden,0.105369
LVA,2022,rent_burden,0.070130
LVA,2023,mortgage_burden,0.098326
LVA,2023,rent_burden,0.079381
LVA,2024,mortgage_burden,0.111627
LVA,2024,rent_burden,0.077423
MEX,2010,mortgage_burden,0.148040
MEX,2010,rent_burden,0.168556
MEX,2012,mortgage_burden,0.138490
MEX,2012,rent_burden,0.170370
MEX,2014,mortgage_burden,0.169720
MEX,2014,rent_burden,0.187995
MEX,2016,mortgage_burden,0.147527
MEX,2016,rent_burden,0.153108
MEX,2018,mortgage_burden,0.141403
MEX,2018,rent_burden,0.146281
MEX,2020,mortgage_burden,0.154136
MEX,2020,rent_burden,0.170213
MEX,2022,mortgage_burden,0.132650
MEX,2022,rent_burden,0.150777
MLT,2010,mortgage_burden,0.145249
MLT,2010,rent_burden,0.015729
MLT,2011,mortgage_burden,0.141365
MLT,2011,rent_burden,0.017654
MLT,2012,mortgage_burden,0.161161
MLT,2012,rent_burden,0.017383
MLT,2013,mortgage_burden,0.157234
MLT,2013,rent_burden,0.019059
MLT,2014,mortgage_burden,0.148850
MLT,2014,rent_burden,0.019742
MLT,2015,mortgage_burden,0.151342
MLT,2015,rent_burden,0.021878
MLT,2016,mortgage_burden,0.153808
MLT,2016,rent_burden,0.023786
MLT,2017,mortgage_burden,0.162305
MLT,2017,rent_burden,0.022704
MLT,2018,mortgage_burden,0.159442
MLT,2018,rent_burden,0.022183
MLT,2019,mortgage_burden,0.166275
MLT,2019,rent_burden,0.023797
MLT,2020,mortgage_burden,0.157485
MLT,2020,rent_burden,0.024027
MLT,2021,mortgage_burden,0.159572
MLT,2021,rent_burden,0.029300
MLT,2022,mortgage_burden,0.163670
MLT,2022,rent_burden,0.037315
MLT,2023,mortgage_burden,0.155132
MLT,2023,rent_burden,0.185129
MLT,2024,mortgage_burden,0.167065
MLT,2024,rent_burden,0.206703
NLD,2010,mortgage_burden,0.177340
NLD,2010,rent_burden,0.245713
NLD,2011,mortgage_burden,0.188211
NLD,2011,rent_burden,0.257175
NLD,2012,mortgage_burden,0.187391
NLD,2012,rent_burden,0.269315
NLD,2013,mortgage_burden,0.192834
NLD,2013,rent_burden,0.275631
NLD,2014,mortgage_burden,0.194573
