iso3,year,source,catalog,mean_size,size_1,size_2_3,size_4_5,size_6_plus,one_person,couple_only,couple_children,single_parent,extended,non_relatives,unknown,multi_generation,three_generation
BWA,1991,IPUMS,1182,4.73,18.04,26.14,21.17,34.65,18.04,3.59,8.74,8.89,,,0.00,22.81,19.37
BWA,2000,MICS,1927,4.31,19.81,28.38,22.55,29.26,19.81,4.32,10.64,10.38,46.58,8.24,0.02,29.21,20.87
BWA,2001,DYB,1012,4.15,23.36,28.80,20.81,27.03,23.36,,,,,,,,
BWA,2001,IPUMS,1012,4.11,23.28,28.83,20.85,27.04,23.28,5.21,9.21,8.70,43.74,9.87,0.00,25.43,18.79
BWA,2011,DYB,4706,,27.76,32.05,20.83,19.36,27.76,,,,,,,,
BWA,2011,IPUMS,4706,3.52,27.89,32.32,20.48,19.31,27.89,6.04,10.32,9.34,38.53,7.88,0.01,23.90,16.11
CAF,1994,DHS,1732,4.91,13.50,28.08,23.94,34.48,13.50,8.25,23.06,6.27,45.87,3.05,0.00,18.56,13.30
CAF,2006,MICS,54,4.64,11.57,29.60,27.57,31.26,11.57,7.67,33.34,8.04,37.56,1.76,0.06,16.38,12.57
CAF,2010,MICS,4991,4.78,9.59,26.94,30.63,32.84,9.59,6.03,36.97,8.81,37.57,1.00,0.04,17.58,13.30
CAF,2019,MICS,7500,5.59,6.20,19.45,29.09,45.26,6.20,3.34,36.86,9.01,44.16,0.38,0.05,23.81,18.49
CAN,2001,DYB,1256,2.55,25.74,48.84,22.36,3.05,25.74,25.17,33.36,10.24,,,5.48,,
CAN,2006,DYB,914,2.50,26.75,49.48,21.01,2.77,26.75,25.11,29.62,8.96,,,9.57,,
CAN,2011,DYB,4739,2.47,27.58,49.75,19.73,2.95,27.58,25.48,27.60,8.96,,,10.39,,
CAN,2011,IPUMS,4739,2.47,27.47,49.78,19.91,2.85,27.47,25.58,27.61,8.62,5.39,5.34,0.00,15.94,2.19
CAN,2016,DYB,7043,2.45,28.20,49.59,19.20,3.02,28.20,25.80,26.51,8.85,,,10.65,,
CAN,2021,DYB,7268,2.43,29.34,48.87,18.67,3.13,29.34,25.62,25.34,8.66,,,11.04,,
CHE,1970,IPUMS,1484,2.92,19.92,47.64,25.59,6.84,19.92,21.18,,,,10.39,0.00,,
CHE,1980,IPUMS,1403,2.51,29.08,45.51,22.52,2.90,29.08,22.89,,,,5.65,0.00,,
CHE,1990,IPUMS,1289,2.32,32.90,46.26,19.18,1.66,32.90,25.48,,,,3.19,0.00,,
