iso3,year,sex,age,disabled,total,source
BEL,2011,M,55-64,73.332,661.075,HIES - EU Statistics on Income and Living Conditions
BEL,2011,M,GE65,129.36,761.996,HIES - EU Statistics on Income and Living Conditions
BEL,2012,F,15-24,9.435,595.193,HIES - EU Statistics on Income and Living Conditions
BEL,2012,F,25-54,111.439,2252.084,HIES - EU Statistics on Income and Living Conditions
BEL,2012,F,55-64,80.176,683.48,HIES - EU Statistics on Income and Living Conditions
BEL,2012,F,GE65,171.781,1012.792,HIES - EU Statistics on Income and Living Conditions
BEL,2012,M,15-24,10.674,607.135,HIES - EU Statistics on Income and Living Conditions
BEL,2012,M,25-54,120.448,2277.615,HIES - EU Statistics on Income and Living Conditions
BEL,2012,M,55-64,58.501,667.39,HIES - EU Statistics on Income and Living Conditions
BEL,2012,M,GE65,100.856,782.787,HIES - EU Statistics on Income and Living Conditions
BEL,2013,F,15-24,11.019,594.991,HIES - EU Statistics on Income and Living Conditions
BEL,2013,F,25-54,125.027,2254.394,HIES - EU Statistics on Income and Living Conditions
BEL,2013,F,55-64,80.259,689.56,HIES - EU Statistics on Income and Living Conditions
BEL,2013,F,GE65,193.876,1028.954,HIES - EU Statistics on Income and Living Conditions
BEL,2013,M,15-24,9.2,607.553,HIES - EU Statistics on Income and Living Conditions
BEL,2013,M,25-54,132.97,2279.081,HIES - EU Statistics on Income and Living Conditions
BEL,2013,M,55-64,60.742,673.448,HIES - EU Statistics on Income and Living Conditions
BEL,2013,M,GE65,106.314,802.341,HIES - EU Statistics on Income and Living Conditions
BEL,2014,F,15-24,17.384,593.764,HIES - EU Statistics on Income and Living Conditions
BEL,2014,F,25-54,164.216,2253.475,HIES - EU Statistics on Income and Living Conditions
BEL,2014,F,55-64,90.9,697.003,HIES - EU Statistics on Income and Living Conditions
BEL,2014,F,GE65,221.12,1043.711,HIES - EU Statistics on Income and Living Conditions
BEL,2014,M,15-24,12.265,607.254,HIES - EU Statistics on Income and Living Conditions
BEL,2014,M,25-54,144.777,2274.747,HIES - EU Statistics on Income and Living Conditions
BEL,2014,M,55-64,65.774,681.731,HIES - EU Statistics on Income and Living Conditions
BEL,2014,M,GE65,123.696,820.391,HIES - EU Statistics on Income and Living Conditions
BEL,2015,F,15-24,11.607,590.702,HIES - EU Statistics on Income and Living Conditions
BEL,2015,F,25-54,145.464,2251.265,HIES - EU Statistics on Income and Living Conditions
BEL,2015,F,55-64,94.548,708.546,HIES - EU Statistics on Income and Living Conditions
BEL,2015,F,GE65,204.642,1059.535,HIES - EU Statistics on Income and Living Conditions
BEL,2015,M,15-24,10.607,605.637,HIES - EU Statistics on Income and Living Conditions
BEL,2015,M,25-54,107.776,2270.752,HIES - EU Statistics on Income and Living Conditions
BEL,2015,M,55-64,77.833,691.84,HIES - EU Statistics on Income and Living Conditions
BEL,2015,M,GE65,120.95,840.192,HIES - EU Statistics on Income and Living Conditions
BEL,2016,F,15-24,10.257,584.136,HIES - EU Statistics on Income and Living Conditions
BEL,2016,F,25-54,152.791,2251.575,HIES - EU Statistics on Income and Living Conditions
BEL,2016,F,55-64,95.266,722.243,HIES - EU Statistics on Income and Living Conditions
