iso3,year,function,sex,share,source
BOL,2020,pension,F,1.0000,ILO - Social Security Inquiry Database
BOL,2020,pension,M,1.0000,ILO - Social Security Inquiry Database
BOL,2020,pension,T,1.0000,ILO - Social Security Inquiry Database
BOL,2021,disab,T,0.0700,ILO - Social Security Inquiry Database
BOL,2021,pension,F,1.0000,ILO - Social Security Inquiry Database
BOL,2021,pension,M,1.0000,ILO - Social Security Inquiry Database
BOL,2021,pension,T,1.0000,ILO - Social Security Inquiry Database
BRA,2015,disab,T,1.0000,ILO - Social Security Inquiry Database
BRA,2015,pension,F,0.5360,ILO - Social Security Inquiry Database
BRA,2015,pension,M,0.8560,ILO - Social Security Inquiry Database
BRA,2015,pension,T,0.7830,ILO - Social Security Inquiry Database
BRA,2016,disab,T,1.0000,ILO - Social Security Inquiry Database
BRA,2017,disab,T,1.0000,ILO - Social Security Inquiry Database
BRA,2019,disab,F,1.0000,ILO - Social Security Inquiry Database
BRA,2019,disab,M,1.0000,ILO - Social Security Inquiry Database
BRA,2019,disab,T,1.0000,ILO - Social Security Inquiry Database
BRA,2019,pension,F,0.6260,ILO - Social Security Inquiry Database
BRA,2019,pension,M,1.0000,ILO - Social Security Inquiry Database
BRA,2019,pension,T,0.9150,ILO - Social Security Inquiry Database
BRA,2020,disab,F,1.0000,ILO - Social Security Inquiry Database
BRA,2020,disab,M,1.0000,ILO - Social Security Inquiry Database
BRA,2020,disab,T,1.0000,ILO - Social Security Inquiry Database
BRA,2021,disab,F,1.0000,ILO - Social Security Inquiry Database
BRA,2021,disab,M,1.0000,ILO - Social Security Inquiry Database
BRA,2021,disab,T,1.0000,ILO - Social Security Inquiry Database
BRA,2022,pension,F,0.6740,ILO - Social Security Inquiry Database
BRA,2022,pension,M,1.0000,ILO - Social Security Inquiry Database
BRA,2022,pension,T,0.8860,ILO - Social Security Inquiry Database
BRB,2011,pension,T,0.6830,ILO - Social Security Inquiry Database
BRB,2015,pension,F,0.7680,ILO - Social Security Inquiry Database
BRB,2015,pension,M,0.8810,ILO - Social Security Inquiry Database
BRB,2015,pension,T,0.8160,ILO - Social Security Inquiry Database
BRB,2019,disab,T,0.4570,ILO - Social Security Inquiry Database
BRB,2020,disab,F,0.6860,ILO - Social Security Inquiry Database
BRB,2020,disab,M,0.6220,ILO - Social Security Inquiry Database
BRB,2020,disab,T,0.6560,ILO - Social Security Inquiry Database
BRB,2020,pension,F,0.9300,ILO - Social Security Inquiry Database
BRB,2020,pension,M,1.0000,ILO - Social Security Inquiry Database
BRB,2020,pension,T,0.9840,ILO - Social Security Inquiry Database
